current_lose_streak,current_win_streak,draw,avg_BODY_att,avg_BODY_landed,avg_CLINCH_att,avg_CLINCH_landed,avg_DISTANCE_att,avg_DISTANCE_landed,avg_GROUND_att,avg_GROUND_landed,avg_HEAD_att,avg_HEAD_landed,avg_KD,avg_LEG_att,avg_LEG_landed,avg_PASS,avg_REV,avg_SIG_STatt,avg_SIG_STlanded,avg_SIG_STpct,avg_SUB_ATT,avg_TD_att,avg_TD_landed,avg_TD_pct,avg_TOTAL_STatt,avg_TOTAL_STlanded,longest_win_streak,losses,avg_opp_BODY_att,avg_opp_BODY_landed,avg_opp_CLINCH_att,avg_opp_CLINCH_landed,avg_opp_DISTANCE_att,avg_opp_DISTANCE_landed,avg_opp_GROUND_att,avg_opp_GROUND_landed,avg_opp_HEAD_att,avg_opp_HEAD_landed,avg_opp_KD,avg_opp_LEG_att,avg_opp_LEG_landed,avg_opp_PASS,avg_opp_REV,avg_opp_SIG_STatt,avg_opp_SIG_STlanded,avg_opp_SIG_STpct,avg_opp_SUB_ATT,avg_opp_TD_att,avg_opp_TD_landed,avg_opp_TD_pct,avg_opp_TOTAL_STatt,avg_opp_TOTAL_STlanded,total_rounds_fought,total_time_fought(seconds),total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Stance,Height_cms,Reach_cms,Weight_lbs,age,Name,Encode_IDs
0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,190.5,,205.0,26.0,Aaron Brink,0
1.0,0.0,0.0,14.0,12.0,6.0,3.0,26.0,9.0,8.0,6.0,23.0,5.0,0.0,3.0,1.0,1.0,1.0,40.0,18.0,0.45,1.0,0.0,0.0,0.0,137.0,109.0,0.0,1.0,13.0,8.0,6.0,4.0,31.0,12.0,31.0,21.0,53.0,28.0,0.0,2.0,1.0,7.0,1.0,68.0,37.0,0.54,1.0,8.0,5.0,0.62,129.0,95.0,3.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,175.26,177.8,135.0,25.0,Aaron Phillips,1
1.0,0.0,0.0,13.5,10.5,19.625,12.375,68.125,20.875,3.75,2.75,66.25,17.125,0.0,11.75,8.375,0.875,0.0,91.5,36.0,0.36875,0.125,2.875,1.0,0.28375,127.25,69.375,1.0,5.0,14.0,11.5,19.625,11.5,79.25,26.875,2.875,1.5,82.625,26.0,0.25,5.125,2.375,0.0,0.0,101.75,39.875,0.38875,0.0,2.375,1.0,0.1875,118.125,55.625,17.0,602.75,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,Southpaw,172.72,175.26,155.0,32.0,Aaron Riley,2
0.0,1.0,0.0,23.5,21.0,31.5,26.0,107.5,40.0,0.0,0.0,110.5,40.5,0.0,5.0,4.5,0.0,0.0,139.0,66.0,0.495,0.0,0.5,0.0,0.0,284.5,195.5,1.0,1.0,9.5,8.0,15.5,13.0,94.0,36.5,4.0,4.0,92.5,36.0,0.0,11.5,9.5,1.0,0.0,113.5,53.5,0.47,0.0,7.0,1.0,0.175,189.5,116.5,6.0,793.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Orthodox,193.04,198.12,205.0,28.0,Aaron Rosa,3
0.0,1.0,0.0,13.1,9.3,23.2,17.0,43.4,15.4,15.0,10.2,57.6,23.0,0.5,10.9,10.3,1.1,0.0,81.6,42.6,0.55,0.3,9.1,3.1,0.391,119.3,75.0,3.0,3.0,6.5,5.1,22.5,14.3,45.8,14.4,2.6,2.3,55.7,18.4,0.0,8.7,7.5,0.1,0.1,70.9,31.0,0.445,0.2,2.8,0.5,0.099,88.2,47.2,26.0,727.4,0.0,0.0,1.0,4.0,2.0,0.0,0.0,7.0,Orthodox,182.88,185.42,170.0,38.0,Aaron Simpson,4
0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,177.8,,155.0,23.0,Aaron Wilkinson,5
0.0,2.0,0.0,2.0,1.25,7.0,4.75,45.75,18.25,1.0,0.75,48.5,20.5,1.25,3.25,2.0,0.0,0.25,53.75,23.75,0.45,0.0,0.75,0.25,0.0825,59.0,27.5,2.0,1.0,7.25,5.75,8.25,6.25,48.0,14.75,6.75,4.25,53.75,17.5,0.0,2.0,2.0,0.75,0.0,63.0,25.25,0.36,0.0,3.25,1.75,0.29000000000000004,79.0,37.75,6.0,360.25,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,Orthodox,177.8,185.42,170.0,33.0,Abdul Razak Alhassan,6
0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,187.96,198.12,205.0,25.0,Abdul-Kerim Edilov,7
1.0,0.0,0.0,6.9,5.6,9.4,6.2,39.5,11.7,8.2,6.5,48.6,17.2,0.3,1.6,1.6,0.4,0.0,57.1,24.4,0.37200000000000005,0.3,2.7,1.4,0.5429999999999999,67.4,34.0,3.0,4.0,4.1,2.8,6.2,3.5,38.5,12.9,3.9,2.7,40.5,13.6,0.0,4.0,2.7,1.1,0.0,48.6,19.1,0.423,1.2,5.7,3.4,0.521,60.9,29.2,21.0,529.1,0.0,0.0,0.0,1.0,3.0,1.0,0.0,6.0,Orthodox,172.72,177.8,155.0,34.0,Abel Trujillo,8
0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,180.34,180.34,155.0,33.0,Abner Lloveras,9
0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,175.26,193.04,185.0,32.0,Abu Azaitar,10
0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,187.96,198.12,170.0,27.0,Adam Cella,11
2.0,0.0,0.0,5.0,3.6666666666666665,11.0,7.333333333333332,71.33333333333333,30.66666666666667,1.0,1.0,76.33333333333333,33.333333333333336,0.0,2.0,2.0,0.0,0.0,83.33333333333333,39.0,0.6433333333333333,0.0,0.0,0.0,0.0,89.66666666666669,44.66666666666666,1.0,2.0,7.0,5.666666666666668,4.333333333333333,3.0,65.66666666666667,30.33333333333333,9.0,7.666666666666668,62.66666666666666,26.33333333333333,0.0,9.333333333333334,9.0,0.3333333333333333,0.0,79.0,41.0,0.5633333333333334,0.0,9.333333333333334,3.333333333333333,0.32666666666666666,145.66666666666666,97.0,7.0,600.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Orthodox,190.5,193.04,205.0,31.0,Adam Milstead,12
0.0,2.0,0.0,11.0,9.5,6.0,6.0,49.5,18.0,5.5,3.5,44.0,12.5,0.0,6.0,5.5,0.5,0.0,61.0,27.5,0.46,0.5,0.5,0.0,0.0,78.5,43.5,2.0,0.0,11.0,10.5,3.5,3.5,23.5,8.0,10.5,9.0,23.0,7.5,0.0,3.5,2.5,3.0,0.0,37.5,20.5,0.53,0.0,6.0,2.0,0.44,67.5,43.0,5.0,659.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,Orthodox,195.58,205.74,250.0,26.0,Adam Wieczorek,13
0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,175.26,187.96,185.0,30.0,Adam Yandiev,14
0.0,1.0,0.0,9.0,5.0,16.0,10.0,77.0,26.0,6.0,2.0,53.0,12.0,0.0,37.0,21.0,1.0,0.0,99.0,38.0,0.38,0.0,10.0,6.0,0.6,118.0,57.0,1.0,0.0,4.0,1.0,4.0,1.0,53.0,4.0,0.0,0.0,44.0,1.0,0.0,9.0,3.0,0.0,0.0,57.0,5.0,0.08,0.0,0.0,0.0,0.0,76.0,24.0,3.0,900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,187.96,193.04,170.0,26.0,Adlan Amagov,15
1.0,0.0,0.0,2.833333333333333,1.8333333333333333,0.5,0.0,31.5,13.333333333333336,1.8333333333333333,1.1666666666666667,25.33333333333333,7.833333333333332,0.3333333333333333,5.666666666666668,4.833333333333333,1.0,0.0,33.833333333333336,14.5,0.44333333333333336,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.2916666666666667,39.0,19.166666666666668,3.0,2.0,8.833333333333334,4.5,0.6666666666666666,0.3333333333333333,45.83333333333334,13.333333333333336,0.0,0.0,30.83333333333333,4.666666666666667,0.16666666666666666,6.833333333333332,4.5,0.0,0.0,46.5,13.666666666666664,0.2966666666666667,0.0,1.1666666666666667,0.16666666666666666,0.16666666666666666,46.83333333333334,14.0,11.0,466.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,Southpaw,177.8,182.88,155.0,34.0,Adriano Martins,16
1.0,0.0,0.0,8.5,5.5,5.0,3.5,101.0,40.0,2.5,1.5,99.0,38.5,0.5,1.0,1.0,0.5,0.5,108.5,45.0,0.41,0.0,0.5,0.0,0.0,109.5,46.0,1.0,1.0,15.0,7.5,3.0,1.5,136.0,48.5,3.0,3.0,106.0,28.5,0.5,21.0,17.0,0.5,0.0,142.0,53.0,0.385,0.0,9.0,2.5,0.375,148.0,59.0,6.0,809.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,172.72,172.72,135.0,31.0,Aiemann Zahabi,17
